agent,label,seed,implementation,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,gross_cost,total_cost,total_fees,fee_bps,gross_effective_bps,net_effective_bps,hypothetical_liquidation_cost,hypothetical_liquidation_fees,completion_penalty_bps,optimization_cost_bps,unpriced_leftover_qty,fillable_leftover_qty,outstanding_qty,status,invalid_reasons,accounting,scenario,episode_reward
ac,Almgren-Chriss,107,ac,2.1453281835913587,2.1453281835913587,1.0,10.0,20,99.993545,100.005,22.91000000001077,42.90870900001077,19.998708999999998,0.9998854557272135,1.1454427278641452,2.1453281835913587,0.0,0.0,0.0,2.1453281835913587,0,0,0,VALID,[],"{'cash': 199967.09129100005, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -22.909999999979945, 'unrealized_pnl': 0.0, 'total_fees': 19.998708999999998, 'realized_pnl': -42.90870899997994, 'equity': 199967.09129100005, 'total_pnl': -42.90870899997994}",baseline_foundation_study,
heuristic,Heuristic,107,heuristic,1.6034203683567008,1.71534728263659,0.927,10.0,20,99.99651564185544,100.005,15.730000000014698,29.728900000014697,13.9989,0.699910004499775,0.9424528773568543,1.71534728263659,3.119999999999745,1.459761,1.825,3.5403472826365903,0,146,0,VALID,[],"{'cash': 185379.5411, 'inventory': 146, 'average_cost': 100.005, 'gross_realized_pnl': -15.729999999979242, 'unrealized_pnl': -1.4599999999986721, 'total_fees': 13.9989, 'realized_pnl': -29.72889999997924, 'equity': 199978.8111, 'total_pnl': -31.188899999977913}",baseline_foundation_study,-3.5403472826358557
random,Random,107,random,1.129474776260736,1.129474776260736,1.0,9.5,15,100.003415,100.005,3.169999999990978,22.59062499999098,19.420625,0.9709827008649569,0.15849207539577911,1.129474776260736,0.0,0.0,0.0,1.129474776260736,0,0,0,VALID,[],"{'cash': 199987.40937500005, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -3.1699999999855493, 'unrealized_pnl': 0.0, 'total_fees': 19.420625, 'realized_pnl': -22.59062499998555, 'equity': 199987.40937500005, 'total_pnl': -22.59062499998555}",baseline_foundation_study,-1.1294747762611868
twap,TWAP,108,twap,2.0497375393683672,2.0497375393683672,1.0,10.0,20,100.00450000000001,100.015,20.999999999985448,41.00089999998545,20.000900000000005,0.9998950157476382,1.0498425236207292,2.0497375393683672,0.0,0.0,0.0,2.0497375393683672,0,0,0,VALID,[],"{'cash': 199988.99910000007, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -20.99999999999511, 'unrealized_pnl': 0.0, 'total_fees': 20.000900000000005, 'realized_pnl': -41.00089999999511, 'equity': 199988.99910000007, 'total_pnl': -41.00089999999511}",baseline_foundation_study,
vwap,VWAP,108,vwap,1.7673081537768613,1.7673081537768613,1.0,10.0,20,100.00732500000001,100.015,15.349999999998545,35.351464999998555,20.001465000000007,0.9999232615107738,0.7673848922660874,1.7673081537768613,0.0,0.0,0.0,1.7673081537768613,0,0,0,VALID,[],"{'cash': 199994.6485350001, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -15.349999999993642, 'unrealized_pnl': 0.0, 'total_fees': 20.001465000000007, 'realized_pnl': -35.35146499999365, 'equity': 199994.6485350001, 'total_pnl': -35.35146499999365}",baseline_foundation_study,
pov,POV,108,pov,1.988752787081516,1.988752787081516,1.0,10.0,19,100.00511,100.015,19.77999999999156,39.781021999991566,20.001022000000006,0.9999011148327753,0.9888516722487407,1.988752787081516,0.0,0.0,0.0,1.988752787081516,0,0,0,VALID,[],"{'cash': 199990.21897800002, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -19.77999999999554, 'unrealized_pnl': 0.0, 'total_fees': 20.001022000000006, 'realized_pnl': -39.781021999995545, 'equity': 199990.21897800002, 'total_pnl': -39.781021999995545}",baseline_foundation_study,
ac,Almgren-Chriss,108,ac,1.7993001549759244,1.7993001549759244,1.0,10.0,20,100.007005,100.015,15.98999999998341,35.99140099998341,20.001401,0.9999200619907015,0.7993800929852227,1.7993001549759244,0.0,0.0,0.0,1.7993001549759244,0,0,0,VALID,[],"{'cash': 199994.00859900008, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -15.98999999999397, 'unrealized_pnl': 0.0, 'total_fees': 20.001401, 'realized_pnl': -35.99140099999397, 'equity': 199994.00859900008, 'total_pnl': -35.99140099999397}",baseline_foundation_study,
heuristic,Heuristic,108,heuristic,2.051403789431197,2.1832041693743243,0.9,10.0,20,100.00448333333334,100.015,18.929999999993015,36.93080699999301,18.000807,0.8999053641953706,1.1833225016244873,2.1832041693743243,4.740000000001601,1.9998259999999999,2.5,4.683204169374324,0,200,200,WARNING,[],"{'cash': 179990.06919300003, 'inventory': 200, 'average_cost': 100.015, 'gross_realized_pnl': -18.929999999995573, 'unrealized_pnl': -2.000000000001023, 'total_fees': 18.000807, 'realized_pnl': -36.93080699999557, 'equity': 199991.06919300003, 'total_pnl': -38.93080699999659}",baseline_foundation_study,-4.683204169374674
random,Random,108,random,1.7397433366492578,1.8012937559362345,0.919,10.0,16,100.00727965179544,100.015,14.189999999992507,31.981278999992504,17.791279,0.889430535419687,0.8308753686943213,1.8012937559362345,2.43,1.62,2.025,3.826293755936234,0,162,162,WARNING,[],"{'cash': 183795.58872100015, 'inventory': 162, 'average_cost': 100.015, 'gross_realized_pnl': -14.1899999999942, 'unrealized_pnl': -1.6200000000008288, 'total_fees': 17.791279, 'realized_pnl': -31.9812789999942, 'equity': 199996.39872100015, 'total_pnl': -33.60127899999503}",baseline_foundation_study,-3.8262937559366095
twap,TWAP,109,twap,2.0318452077388565,2.0318452077388565,1.0,10.0,20,99.99468000000002,100.005,20.639999999984866,40.63893599998487,19.998936,0.999896805159742,1.0319484025791144,2.0318452077388565,0.0,0.0,0.0,2.0318452077388565,0,0,0,VALID,[],"{'cash': 199969.361064, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -20.639999999982734, 'unrealized_pnl': 0.0, 'total_fees': 19.998936, 'realized_pnl': -40.638935999982735, 'equity': 199969.361064, 'total_pnl': -40.638935999982735}",baseline_foundation_study,
