agent,label,seed,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,scenario
random,Random,1016,5.183216796779682,5.266236688165315,0.9816,60.0,97,99.9531652404238,100.005,calm
twap,TWAP,1016,1.154242287885754,1.154242287885754,1.0,57.5,20,99.993457,100.005,calm
vwap,VWAP,1016,4.405079746013051,4.405079746013051,1.0,57.5,20,99.960947,100.005,calm
ac,Almgren-Chriss,1017,4.040806120917596,4.040806120917596,1.0,57.5,20,99.944598,99.985,calm
heuristic,Heuristic,1017,1.926923098046991,2.330349552432792,0.8996,60.0,120,99.96573365940418,99.985,calm
pov,POV,1017,5.685852877931181,5.685852877931181,1.0,56.5,110,99.92815,99.985,calm
random,Random,1017,4.352532338907199,4.633094964245053,0.9391,60.0,94,99.94148120540945,99.985,calm
twap,TWAP,1017,5.492723908587185,5.492723908587185,1.0,57.5,20,99.930081,99.985,calm
vwap,VWAP,1017,3.251687753163583,3.251687753163583,1.0,57.5,20,99.952488,99.985,calm
ac,Almgren-Chriss,1018,1.5667783389163463,1.5667783389163463,1.0,57.5,20,99.979333,99.995,calm
heuristic,Heuristic,1018,3.502794941078147,3.806290314515514,0.9161,60.0,120,99.95997380198668,99.995,calm
pov,POV,1018,3.968598429921243,3.968598429921243,1.0,59.5,117,99.955316,99.995,calm
random,Random,1018,4.90654532726692,4.90654532726692,1.0,50.0,83,99.945937,99.995,calm
twap,TWAP,1018,2.5712285614272767,2.5712285614272767,1.0,57.5,20,99.969289,99.995,calm
vwap,VWAP,1018,5.42737136856922,5.42737136856922,1.0,57.5,20,99.940729,99.995,calm
ac,Almgren-Chriss,1019,4.649232461622513,4.649232461622513,1.0,57.5,20,99.94851,99.995,calm
heuristic,Heuristic,1019,3.527532339100808,4.066703335167573,0.8956,60.0,120,99.95972644037516,99.995,calm
pov,POV,1019,3.928596429822184,3.928596429822184,1.0,53.5,106,99.955716,99.995,calm
random,Random,1019,3.1280499210143,3.7814890744542784,0.864,60.0,88,99.96372106481482,99.995,calm
twap,TWAP,1019,4.130006500325631,4.130006500325631,1.0,57.5,20,99.953702,99.995,calm
vwap,VWAP,1019,3.3775688784433195,3.3775688784433195,1.0,57.5,20,99.961226,99.995,calm
ac,Almgren-Chriss,1020,2.1974098704933387,2.1974098704933387,1.0,57.5,20,99.973027,99.995,calm
heuristic,Heuristic,1020,2.7809542115106467,2.9529476473814844,0.9127,60.0,120,99.967191848362,99.995,calm
pov,POV,1020,4.632531626580634,4.632531626580634,1.0,56.0,108,99.948677,99.995,calm
random,Random,1020,1.8583929196458544,1.8583929196458544,1.0,53.0,84,99.976417,99.995,calm
twap,TWAP,1020,4.669933496675209,4.669933496675209,1.0,57.5,20,99.948303,99.995,calm
vwap,VWAP,1020,1.977698884944413,1.977698884944413,1.0,57.5,20,99.975224,99.995,calm
ac,Almgren-Chriss,1021,2.849642482124368,2.849642482124368,1.0,57.5,20,99.966505,99.995,calm
heuristic,Heuristic,1021,2.521592394019432,2.8369418470914844,0.9084,60.0,120,99.969785336856,99.995,calm
pov,POV,1021,4.483324166207778,4.483324166207778,1.0,60.0,118,99.950169,99.995,calm
random,Random,1021,2.6862532359240525,2.703035151757815,0.9956,60.0,99,99.9681388107674,99.995,calm
twap,TWAP,1021,3.951497574879373,3.951497574879373,1.0,57.5,20,99.955487,99.995,calm
vwap,VWAP,1021,4.840142007101208,4.840142007101208,1.0,57.5,20,99.946601,99.995,calm
