scenario,agent,label,n,mean,ci_lo,ci_hi,median,std,p5,p95,worst,fill_frac,filled_only_mean,children
volatile,heuristic,Heuristic,100,4.4670773348296064,2.427268611064749,5.9761972055983215,5.807072108901642,9.249617288606157,-0.21875271544601882,10.341316527930948,17.495774788739126,1.00014,5.866332083640481,103.58
volatile,pov,POV,100,8.47585236814838,7.793727935463179,9.119117467647014,8.357543643164949,3.4350494214865575,3.3820681140544804,13.991889481107762,17.761211939402948,1.0,8.47585236814838,32.69
volatile,random,Random,100,5.747309020888866,3.74813855673577,7.23483313252714,6.7210401610549635,9.009171468433518,0.75277486926937,12.53257387045117,15.407511126668242,1.000138,7.126029218467887,64.85
volatile,twap,TWAP,100,6.075850280424631,5.1992354172096755,6.942998409390868,6.608438762683844,4.5698423364741965,-2.1546178785900594,13.166000802780985,16.62595572435112,1.0,6.075850280424631,20.0
volatile,vwap,VWAP,100,5.214301552961279,4.470345693488922,5.91089569724088,5.735452353979126,3.8125829275281604,-1.1000916052750573,10.743397974174593,13.880129967507328,1.0,5.214301552961279,20.0
high_latency,ac,Almgren-Chriss,100,3.6295458365199953,3.390521508983437,3.8501912575574595,3.5691999139229096,1.199042295597741,1.4796121811996745,5.597944897245277,6.351517575877947,1.0,3.6295458365199953,20.0
high_latency,heuristic,Heuristic,100,3.809728149809445,3.6210956896718005,3.997806501382173,3.827158735330636,0.96332487758084,2.177159955271823,5.263120481771211,6.311815590779336,0.9045110000000001,3.4430745506237885,120.0
high_latency,pov,POV,100,3.9205199665819794,3.6887110723717997,4.148722262961173,3.9889984497721445,1.169561680397274,1.9962005131317626,5.745112792102808,6.701235061752907,1.0,3.9205199665819794,110.12
high_latency,random,Random,100,4.190567930245869,3.8207152944671803,4.472948964686483,4.414070703535089,1.6709589921546062,2.0098392910026788,5.9671811135230195,6.651667416629212,0.9814200000000001,4.287173384829012,89.24
high_latency,twap,TWAP,100,4.112224617251431,3.8885819544940436,4.331723231438613,4.068801340172014,1.1833118522557435,2.360384953707958,5.976686642989531,6.771984202368873,1.0,4.112224617251431,20.0
high_latency,vwap,VWAP,100,3.7372243585267664,3.4860537463650494,3.969336910371549,3.7275317486314665,1.262429925253984,1.7235709850298444,5.810059497024529,7.000250012501332,1.0,3.7372243585267664,20.0
stressed,ac,Almgren-Chriss,100,6.139684888152027,5.5911524425140025,6.690160656207751,6.3378492733445135,2.86914380541766,1.6783751627454095,10.057542024964942,12.441856978662562,1.0,6.139684888152027,20.0
stressed,heuristic,Heuristic,100,5.6739921918641025,4.879708148574714,6.351819807131174,6.228934340150179,3.781185779665321,0.827680006569447,9.893220345824684,12.083679080229778,0.9601909999999998,5.906075468927318,117.88
stressed,pov,POV,100,7.71144034209702,7.139802805772636,8.334792862397814,7.476201934940335,2.981344292526548,3.720575419511068,12.82911100324151,22.37844323351417,1.0,7.71144034209702,48.53
stressed,random,Random,100,5.848390434734755,3.899907677757432,7.420148379807167,7.389799809910592,9.25386665853832,0.04718654711387946,11.548953978764347,13.074938759186146,1.00019,7.746840165389858,69.49
stressed,twap,TWAP,100,5.804387324415128,5.241482286796586,6.381178268414996,5.7898732670262785,2.946955832203278,1.5503369231554718,9.85598909363247,14.591370431478271,1.0,5.804387324415128,20.0
stressed,vwap,VWAP,100,5.722490990096808,5.048704094614732,6.3975470098538025,5.790607598391787,3.4787869695760056,0.20638926141197014,10.83854307284597,13.939390908635891,1.0,5.722490990096808,20.0
